 3 bands
           1           1           1           1   5.000000    
           1           1           1           2  0.0000000E+00
           1           1           1           3  0.0000000E+00
           1           1           2           1  0.0000000E+00
           1           1           2           2  0.7500000    
           1           1           2           3  0.0000000E+00
           1           1           3           1  0.0000000E+00
           1           1           3           2  0.0000000E+00
           1           1           3           3  0.7500000    
           1           2           1           1  0.0000000E+00
           1           2           1           2   3.500000    
           1           2           1           3  0.0000000E+00
           1           2           2           1  0.7500000    
           1           2           2           2  0.0000000E+00
           1           2           2           3  0.0000000E+00
           1           2           3           1  0.0000000E+00
           1           2           3           2  0.0000000E+00
           1           2           3           3  0.0000000E+00
           1           3           1           1  0.0000000E+00
           1           3           1           2  0.0000000E+00
           1           3           1           3   3.500000    
           1           3           2           1  0.0000000E+00
           1           3           2           2  0.0000000E+00
           1           3           2           3  0.0000000E+00
           1           3           3           1  0.7500000    
           1           3           3           2  0.0000000E+00
           1           3           3           3  0.0000000E+00
           2           1           1           1  0.0000000E+00
           2           1           1           2  0.7500000    
           2           1           1           3  0.0000000E+00
           2           1           2           1   3.500000    
           2           1           2           2  0.0000000E+00
           2           1           2           3  0.0000000E+00
           2           1           3           1  0.0000000E+00
           2           1           3           2  0.0000000E+00
           2           1           3           3  0.0000000E+00
           2           2           1           1  0.7500000    
           2           2           1           2  0.0000000E+00
           2           2           1           3  0.0000000E+00
           2           2           2           1  0.0000000E+00
           2           2           2           2   5.000000    
           2           2           2           3  0.0000000E+00
           2           2           3           1  0.0000000E+00
           2           2           3           2  0.0000000E+00
           2           2           3           3  0.7500000    
           2           3           1           1  0.0000000E+00
           2           3           1           2  0.0000000E+00
           2           3           1           3  0.0000000E+00
           2           3           2           1  0.0000000E+00
           2           3           2           2  0.0000000E+00
           2           3           2           3   3.500000    
           2           3           3           1  0.0000000E+00
           2           3           3           2  0.7500000    
           2           3           3           3  0.0000000E+00
           3           1           1           1  0.0000000E+00
           3           1           1           2  0.0000000E+00
           3           1           1           3  0.7500000    
           3           1           2           1  0.0000000E+00
           3           1           2           2  0.0000000E+00
           3           1           2           3  0.0000000E+00
           3           1           3           1   3.500000    
           3           1           3           2  0.0000000E+00
           3           1           3           3  0.0000000E+00
           3           2           1           1  0.0000000E+00
           3           2           1           2  0.0000000E+00
           3           2           1           3  0.0000000E+00
           3           2           2           1  0.0000000E+00
           3           2           2           2  0.0000000E+00
           3           2           2           3  0.7500000    
           3           2           3           1  0.0000000E+00
           3           2           3           2   3.500000    
           3           2           3           3  0.0000000E+00
           3           3           1           1  0.7500000    
           3           3           1           2  0.0000000E+00
           3           3           1           3  0.0000000E+00
           3           3           2           1  0.0000000E+00
           3           3           2           2  0.7500000    
           3           3           2           3  0.0000000E+00
           3           3           3           1  0.0000000E+00
           3           3           3           2  0.0000000E+00
           3           3           3           3   5.000000    
